"Term","Section ID","Course Title","Instructor","Max","Status","CU","Meeting","Location","Part of Term","Description","Crosslist","Crosslist Primary","Prerequisites","Corequisites","Division","Departmental Website","Registration","Course (Canvas) URL","Syllabi URL","3 Yr Avg Course Rating"
"202530","ACCT1010001","Acct & Financial Report","Luzi Hail","78","A","1","08/26/2025 - 12/08/2025 TR 0830AM - 0959AM","JMHH 350","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010001","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1877883","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010002","Acct & Financial Report","Luzi Hail","78","A","1","08/26/2025 - 12/08/2025 TR 1015AM - 1144AM","JMHH 350","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010002","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1877883","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010003","Acct & Financial Report","Carol Seregni","78","A","1","08/26/2025 - 12/08/2025 MW 1015AM - 1144AM","JMHH 345","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010003","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1878940","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010004","Acct & Financial Report","Carol Seregni","78","A","1","08/26/2025 - 12/08/2025 MW 1200PM - 0129PM","JMHH 345","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010004","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1878940","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010005","Acct & Financial Report","Allison Nicoletti","78","A","1","08/26/2025 - 12/08/2025 MW 1015AM - 1144AM","JMHH 350","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010005","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1878755","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010006","Acct & Financial Report","Allison Nicoletti","78","A","1","08/26/2025 - 12/08/2025 MW 1200PM - 0129PM","JMHH 350","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010006","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1878755","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010007","Acct & Financial Report","Sandra Schafh�utle","78","A","1","08/26/2025 - 12/08/2025 MW 0830AM - 0959AM","JMHH 340","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010007","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1879021","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1010008","Acct & Financial Report","Sandra Schafh�utle","78","A","1","08/26/2025 - 12/08/2025 MW 1015AM - 1144AM","JMHH 340","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010008","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1879021","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1010","2.930263"
"202530","ACCT1020002","Strategic Cost Analysis","Edward Scott","78","A","1","08/26/2025 - 12/08/2025 TR 0145PM - 0314PM","JMHH 350","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020002","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1880635","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1020","2.572500"
"202530","ACCT1020003","Strategic Cost Analysis","Edward Scott","78","A","1","08/26/2025 - 12/08/2025 TR 0330PM - 0459PM","JMHH 350","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020003","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1880635","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1020","2.572500"
"202530","ACCT1020004","Strategic Cost Analysis","Matthew Bloomfield","78","A","1","08/26/2025 - 12/08/2025 MW 1200PM - 0129PM","JMHH 340","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020004","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1877885","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1020","2.572500"
"202530","ACCT1020005","Strategic Cost Analysis","Matthew Bloomfield","78","A","1","08/26/2025 - 12/08/2025 MW 0145PM - 0314PM","JMHH 340","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020005","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1877885","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1020","2.572500"
"202530","ACCT1020006","Strategic Cost Analysis","Rongchen Li","78","A","1","08/26/2025 - 12/08/2025 MW 0830AM - 0959AM","SHDH 351","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020006","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1879291","https://apps.wharton.upenn.edu/syllabi/?term=202530&course=ACCT1020","2.572500"
