"Term","Section ID","Course Title","Instructor","Max","Status","CU","Meeting","Location","Part of Term","Description","Crosslist","Crosslist Primary","Prerequisites","Corequisites","Division","Departmental Website","Registration","Course (Canvas) URL","Syllabi URL","3 Yr Avg Course Rating"
"202610","ACCT0001001","Intro. to Income Tax Prep.","Lisa Parlade","25","A","0.5","01/14/2026 - 04/29/2026 T 0500PM - 0645PM","WHRT RM","Fall/Spring 14 Wk","This course includes an academic component and a community service component. The academic component of the course will focus on several areas: 1)	Statutory tax system. Students will learn about the tax system as it relates to individuals and sole proprietors. The VITA training covers general tax preparation, with a specific focus on tax credits available to VITA-eligible taxpayers and the use of VITA software. 2)	Social policy debate. Tax policy, including deductions, subsidies, and credits, are one tool that lawmakers can use to get more cash in the hands of individuals and families, especially for low-income groups. Students will consider the effectiveness and usefulness of tax policies relative to other tools that the government has available. 3)	Working with people. Volunteering with VITA requires students to work with people from a low-income community on the sensitive issue of personal finances. Students will learn to discuss sensitive financial issues with lower-income adults (including many seniors) through readings and in-class discussions, and by reflecting on their real-life experiences in the local community. This skill is important in a variety of roles such as healthcare (physicians and nurses), business (e.g., the HR function), and education. The community service component of the course is volunteering with VITA, which is the IRS’s “Volunteer Income Tax Assistance” program. Following training, students will perform tax services for the Philadelphia community during the 20XX tax season.","P","ACCT0001001","","","WH","ACCT","Penn In Touch","","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT0001",""
"202610","ACCT1010001","Acct & Financial Report","Marguerite Lane","78","A","1","01/14/2026 - 04/29/2026 MW 0145PM - 0314PM","JMHH 240","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010001","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1908481","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1010","2.930263"
"202610","ACCT1010002","Acct & Financial Report","Stefan Huber","78","A","1","01/14/2026 - 04/29/2026 TR 0145PM - 0314PM","JMHH 245","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010002","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1908033","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1010","2.930263"
"202610","ACCT1010003","Acct & Financial Report","Stefan Huber","78","A","1","01/14/2026 - 04/29/2026 TR 0330PM - 0459PM","JMHH 245","Fall/Spring 14 Wk","This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.","P","ACCT1010003","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1908033","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1010","2.930263"
"202610","ACCT1020001","Strategic Cost Analysis","Carolyn Deller","77","A","1","01/14/2026 - 04/29/2026 MW 1015AM - 1144AM","JMHH 250","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020001","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1908159","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1020","2.572500"
"202610","ACCT1020002","Strategic Cost Analysis","Carolyn Deller","76","A","1","01/14/2026 - 04/29/2026 MW 1200PM - 0129PM","JMHH 250","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020002","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1908159","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1020","2.572500"
"202610","ACCT1020003","Strategic Cost Analysis","Edward Scott","77","A","1","01/14/2026 - 04/29/2026 TR 1015AM - 1144AM","SHDH 215","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020003","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1911785","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1020","2.572500"
"202610","ACCT1020004","Strategic Cost Analysis","Edward Scott","79","A","1","01/14/2026 - 04/29/2026 TR 1200PM - 0129PM","SHDH 215","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020004","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1911785","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1020","2.572500"
"202610","ACCT1020005","Strategic Cost Analysis","Edward Scott","76","A","1","01/14/2026 - 04/29/2026 TR 0145PM - 0314PM","SHDH 215","Fall/Spring 14 Wk","Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.","P","ACCT1020005","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1911785","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT1020","2.572500"
"202610","ACCT2110401","Tax Policy & Practice","Edward Scott","60","A","1","01/14/2026 - 04/29/2026 T 0330PM - 0629PM","SHDH 1206","Fall/Spring 14 Wk","The academic component of the course will focus on several areas: (1) The Color of Money: Black Banks and the Racial Wealth Gap. Students will read this book throughout the semester to support their understanding of the community that they will be serving. (2) Statutory tax system. Students will learn about the tax system as it relates to individuals and sole proprietors.  The VITA training covers general tax preparation, with a specific focus on tax credits available to VITA-eligible taxpayers and the use of VITA software.  In addition, one session of the course will include a guest lecture/discussion.  It will focus on statutory tax issues related to organizational form choice for self-employed and gig economy workers, which is an important statutory issue in low-income communities. (3) Social policy debate. Tax policy, including deductions, subsidies and credits, are one tool that lawmakers can use to get more cash in the hands of individuals and families, especially for low-income groups. Students will consider the effectiveness and usefulness of tax policies relative to other tools that the government has available. There are three guest lecturers for the sessions on tax policy. (4) Working with people. Volunteering with VITA requires students to work with people from a low-income community on the sensitive issue of personal finances.  Students will learn to discuss sensitive financial issues with lower-income adults (including many seniors) through readings and in-class discussions, and by reflecting on their real-life experiences in the local community.  This skill is important in a variety of roles such as healthcare (physicians and nurses), business (e.g., the HR function), and education. The community service part of the course is volunteering with VITA, which is the IRS’s “Volunteer Income Tax Assistance” program.  Following training, students will perform tax services for the West Philadelphia community during the tax season.  The course will meet once a week in three-hour sessions for 8-9 weeks during the Spring semester.  Students are expected to be in the field performing service throughout a significant portion of the semester. As described on the IRS website, the VITA program has operated for over 50 years. Volunteers offer free tax help to people who need assistance in preparing their own tax returns, including: •	People who generally make $58,000 or less •	Persons with disabilities; and •	Limited English-speaking taxpayers. This is an Academically Based Community Service (ABCS) course.","P","ACCT2110401","","","WH","ACCT","Penn In Touch","https://canvas.upenn.edu/courses/1912027","https://apps.wharton.upenn.edu/syllabi/?term=202610&course=ACCT2110",""
